LinearAccel_X_err,LinearAccel_Y_err,LinearAccel_Z_err,AngularAccel_X_err,AngularAccel_Y_err,AngularAccel_Z_err
0.00069117546,0.019611597,0.033851624,0.016386032,0.18969142,0.021094799
0.006217003,0.019937038,0.004184723,0.06372738,0.16258478,0.014009476
0.009962559,0.019925833,0.02157116,0.0697031,0.087557316,0.06630635
0.006729841,0.0022058487,0.023163795,0.02064991,0.022663593,0.112754464
0.0022171736,0.029796124,0.0083293915,0.043790817,0.08790445,0.036455154
0.0046486855,0.012295485,0.013707161,0.028343678,0.08298743,0.08003831
0.0094127655,0.014279366,0.01877594,0.07749891,0.12131928,0.09765887
0.018106937,0.01079011,0.0030202866,0.085082054,0.16021085,0.072235644
0.016747594,0.011156559,0.017040253,0.046497345,0.0962075,0.071184546
0.0127129555,0.014273405,0.018616676,0.08218622,0.097138286,0.0018821359
0.0107780695,0.019790173,0.0012350082,0.13228965,0.11970025,0.12993944
0.0149537325,0.014302731,0.01499176,0.010374904,0.031991005,0.07200754
0.006017208,0.022972584,0.014139175,0.13124657,0.19587225,0.06967306
0.013498306,0.023940563,0.014135361,0.049395084,0.079751045,0.12186468
0.015046358,0.019233227,0.0009937286,0.09077057,0.08576435,0.049593102
0.016494274,0.011800766,0.008137703,0.08720434,0.06631085,0.026414156
0.012010217,0.012132645,0.0059776306,0.080712765,0.052474372,0.02830255
0.007504463,0.013700247,0.0013103485,0.060269833,0.03689313,0.0451535
0.0033515692,0.001180172,0.011734962,0.100087166,0.036653996,0.03049156
0.015397191,0.010596514,0.029414177,0.25692844,0.20748138,0.024233222
0.002773285,0.000885725,0.029058456,0.0017039776,0.008061647,0.011909783
0.001940012,0.0056829453,0.026982307,0.044240475,0.047783554,0.025891498
0.00014042854,0.008911848,0.039316177,0.03190291,0.058754116,0.07147318
0.0024391413,0.010564566,0.034467697,0.018103778,0.021046154,0.009108499
0.006300807,0.0062525272,0.059514046,0.023632526,0.060132213,0.03399378
0.0089992285,0.00024938583,0.05034828,0.042850018,0.04832998,0.0075963736
0.0062315464,0.008486509,0.04915905,0.009291172,0.014317483,0.046660244
0.0024825335,0.009267569,0.03884983,0.02305317,0.018238395,0.0157201
0.0056945086,0.0109939575,0.032079697,0.001594305,0.031226706,0.03396725
0.009352446,0.006030798,0.013961792,0.043985933,0.014374524,0.014677465
0.009192467,0.0031943321,0.013110161,0.041318417,0.026214719,0.06585997
0.007011056,0.0085783005,0.0073127747,0.0043029785,0.026580095,0.11922419
0.006404996,0.00471282,0.039437294,0.01937151,0.036224604,0.11295766
0.0012865067,0.006000757,0.042847633,0.1006217,0.0639323,0.016426742
0.0026171207,0.012779713,0.055509567,0.011191368,0.019384641,0.072654605
0.0026496649,0.012172699,0.056822777,0.020697713,0.01831308,0.06727062
0.0031719208,0.008013725,0.040891647,0.0059633255,0.02448532,0.052785635
0.0011013746,0.0035083294,0.024503708,0.0030274242,0.021621615,0.16857052
